code,name,description,unit_code,unit_name,unit_sigla,is_active
60061000,De lana o pelo fino,De lana o pelo fino,6,KILOGRAMO NETO,KN,true
60062100,Crudos o blanqueados,Crudos o blanqueados,6,KILOGRAMO NETO,KN,true
60062200,Teñidos,Teñidos,6,KILOGRAMO NETO,KN,true
60062300,Con hilados de distintos colores,Con hilados de distintos colores,6,KILOGRAMO NETO,KN,true
60062400,Estampado,Estampado,6,KILOGRAMO NETO,KN,true
60063100,Crudos o blanqueados,Crudos o blanqueados,6,KILOGRAMO NETO,KN,true
60063200,Teñidos,Teñidos,6,KILOGRAMO NETO,KN,true
60063300,Con hilados de distintos colores,Con hilados de distintos colores,6,KILOGRAMO NETO,KN,true
60063400,Estampados,Estampados,6,KILOGRAMO NETO,KN,true
60064100,Crudos o blanqueados,Crudos o blanqueados,6,KILOGRAMO NETO,KN,true
60064200,Teñidos,Teñidos,6,KILOGRAMO NETO,KN,true
60064300,Con hilados de distintos colores,Con hilados de distintos colores,6,KILOGRAMO NETO,KN,true
60064400,Estampados,Estampados,6,KILOGRAMO NETO,KN,true
60069000,Los demás,Los demás,6,KILOGRAMO NETO,KN,true
61012000,De algodón,De algodón,10,UNIDAD,U,true
61013000,De fibras sintéticas o artificiales,De fibras sintéticas o artificiales,10,UNIDAD,U,true
61019000,De las demás materias textiles,De las demás materias textiles,10,UNIDAD,U,true
61021000,De lana o pelo fino,De lana o pelo fino,10,UNIDAD,U,true
61022000,De algodón,De algodón,10,UNIDAD,U,true
61023000,De fibras sintéticas o artificiales,De fibras sintéticas o artificiales,10,UNIDAD,U,true
61029000,De las demás materias textiles,De las demás materias textiles,10,UNIDAD,U,true
61031010,De fibras artificiales,De fibras artificiales,10,UNIDAD,U,true
61031020,De algodón,De algodón,10,UNIDAD,U,true
61031090,Los demás,Los demás,10,UNIDAD,U,true
61032200,De algodón,De algodón,10,UNIDAD,U,true
61032300,De fibras sintéticas,De fibras sintéticas,10,UNIDAD,U,true
61032910,De fibras artificiales,De fibras artificiales,10,UNIDAD,U,true
61032990,Los demás,Los demás,10,UNIDAD,U,true
61033100,De lana o pelo fino,De lana o pelo fino,10,UNIDAD,U,true
61033200,De algodón,De algodón,10,UNIDAD,U,true
61033300,De fibras sintéticas,De fibras sintéticas,10,UNIDAD,U,true
61033910,De fibras artificiales,De fibras artificiales,10,UNIDAD,U,true
61033990,Los demás,Los demás,10,UNIDAD,U,true
61034100,De lana o pelo fino,De lana o pelo fino,10,UNIDAD,U,true
61034211,Pantalones largos,Pantalones largos,10,UNIDAD,U,true
61034212,Pantalones con peto,Pantalones con peto,10,UNIDAD,U,true
61034213,Pantalones cortos (calzones),Pantalones cortos (calzones),10,UNIDAD,U,true
61034214,Shorts,Shorts,10,UNIDAD,U,true
61034221,Pantalones largos,Pantalones largos,10,UNIDAD,U,true
61034222,Pantalones con peto,Pantalones con peto,10,UNIDAD,U,true
61034223,Pantalones cortos (calzones),Pantalones cortos (calzones),10,UNIDAD,U,true
61034224,Shorts,Shorts,10,UNIDAD,U,true
61034300,De fibras sintéticas,De fibras sintéticas,10,UNIDAD,U,true
61034910,De fibras artificiales,De fibras artificiales,10,UNIDAD,U,true
61034990,Los demás,Los demás,10,UNIDAD,U,true
61041300,De fibras sintéticas,De fibras sintéticas,10,UNIDAD,U,true
61041910,De fibras artificiales,De fibras artificiales,10,UNIDAD,U,true
61041990,Los demás,Los demás,10,UNIDAD,U,true
61042200,De algodón,De algodón,10,UNIDAD,U,true
61042300,De fibras sintéticas,De fibras sintéticas,10,UNIDAD,U,true
61042910,De fibras artificiales,De fibras artificiales,10,UNIDAD,U,true
61042990,Los demás,Los demás,10,UNIDAD,U,true
61043100,De lana o pelo fino,De lana o pelo fino,10,UNIDAD,U,true
61043200,De algodón,De algodón,10,UNIDAD,U,true
61043300,De fibras sintéticas,De fibras sintéticas,10,UNIDAD,U,true
61043910,De fibras artificiales,De fibras artificiales,10,UNIDAD,U,true
61043990,Las demás,Las demás,10,UNIDAD,U,true
61044100,De lana o pelo fino,De lana o pelo fino,10,UNIDAD,U,true
61044200,De algodón,De algodón,10,UNIDAD,U,true
61044300,De fibras sintéticas,De fibras sintéticas,10,UNIDAD,U,true
61044400,De fibras artificiales,De fibras artificiales,10,UNIDAD,U,true
61044900,De las demás materias textiles,De las demás materias textiles,10,UNIDAD,U,true
61045100,De lana o pelo fino,De lana o pelo fino,10,UNIDAD,U,true
61045200,De algodón,De algodón,10,UNIDAD,U,true
61045300,De fibras sintéticas,De fibras sintéticas,10,UNIDAD,U,true
61045910,De fibras artificiales,De fibras artificiales,10,UNIDAD,U,true
61045990,Las demás,Las demás,10,UNIDAD,U,true
61046100,De lana o pelo fino,De lana o pelo fino,10,UNIDAD,U,true
61046211,Pantalones largos,Pantalones largos,10,UNIDAD,U,true
61046212,Pantalones con peto,Pantalones con peto,10,UNIDAD,U,true
61046213,Pantalones cortos (calzones),Pantalones cortos (calzones),10,UNIDAD,U,true
61046214,Shorts,Shorts,10,UNIDAD,U,true
61046221,Pantalones largos,Pantalones largos,10,UNIDAD,U,true
61046222,Pantalones con peto,Pantalones con peto,10,UNIDAD,U,true
61046223,Pantalones cortos (calzones),Pantalones cortos (calzones),10,UNIDAD,U,true
61046224,Shorts,Shorts,10,UNIDAD,U,true
